None,indicator_id,region_id,date,value
0,IRAM,394531,2021-07-31,3241.0
1,IRAM,394531,2021-06-30,3238.0
2,IRAM,394531,2021-05-31,3213.0
3,IRAM,394531,2021-04-30,3124.0
4,IRAM,394531,2021-03-31,3044.0
5,IRAM,394531,2021-02-28,2969.0
6,IRAM,394531,2021-01-31,3166.0
7,IRAM,394531,2020-12-31,3474.0
8,IRAM,394531,2020-11-30,3879.0
9,IRAM,394531,2020-10-31,3733.0
10,IRAM,394531,2020-09-30,3876.0
11,IRAM,394531,2020-08-31,3962.0
12,IRAM,394531,2020-07-31,4216.0
13,IRAM,394531,2020-06-30,4485.0
14,IRAM,394531,2020-05-31,4569.0
15,IRAM,394531,2020-04-30,4401.0
16,IRAM,394531,2020-03-31,4310.0
17,IRAM,394531,2020-02-29,4315.0
18,IRAM,394531,2020-01-31,4527.0
19,IRAM,394531,2019-12-31,4736.0
20,IRAM,394531,2019-11-30,4918.0
21,IRAM,394531,2019-10-31,4985.0
22,IRAM,394531,2019-09-30,4924.0
23,IRAM,394531,2019-08-31,4832.0
24,IRAM,394531,2019-07-31,4737.0
25,IRAM,394531,2019-06-30,4554.0
26,IRAM,394531,2019-05-31,4317.0
27,IRAM,394531,2019-04-30,4173.0
28,IRAM,394531,2019-03-31,4032.0
29,IRAM,394531,2019-02-28,4087.0
30,IRAM,394531,2019-01-31,4337.0
31,IRAM,394531,2018-12-31,4519.0
32,IRAM,394531,2018-11-30,4711.0
33,IRAM,394531,2018-10-31,4797.0
34,IRAM,394531,2018-09-30,4782.0
35,IRAM,394531,2018-08-31,4714.0
36,IRAM,394531,2018-07-31,4613.0
37,IRAM,394531,2018-06-30,4604.0
38,IRAM,394531,2018-05-31,4380.0
39,IRAM,394531,2018-04-30,4195.0
40,IRAM,394531,2018-03-31,4004.0
41,IRAM,394531,2018-02-28,3815.0
42,IRAM,394531,2018-01-31,3940.0
43,IRAM,394531,2017-12-31,3983.0
44,IRAM,394531,2017-11-30,4165.0
45,IRAM,394531,2017-10-31,4362.0
