None,metro_area,date,value
0,Toledo,2021-07-31,179999.0
1,Toledo,2021-06-30,185000.0
2,Toledo,2021-05-31,189900.0
3,Toledo,2021-04-30,184900.0
4,Toledo,2021-03-31,189900.0
5,Toledo,2021-02-28,200000.0
6,Toledo,2021-01-31,184900.0
7,Toledo,2020-12-31,179999.0
8,Toledo,2020-11-30,185000.0
9,Toledo,2020-10-31,195000.0
10,Toledo,2020-09-30,200000.0
11,Toledo,2020-08-31,214900.0
12,Toledo,2020-07-31,199900.0
13,Toledo,2020-06-30,199900.0
14,Toledo,2020-05-31,197900.0
15,Toledo,2020-04-30,175000.0
16,Toledo,2020-03-31,164900.0
17,Toledo,2020-02-29,159900.0
18,Toledo,2020-01-31,159900.0
19,Toledo,2019-12-31,159900.0
20,Toledo,2019-11-30,159900.0
21,Toledo,2019-10-31,164900.0
22,Toledo,2019-09-30,165000.0
23,Toledo,2019-08-31,173900.0
24,Toledo,2019-07-31,179900.0
25,Toledo,2019-06-30,189000.0
26,Toledo,2019-05-31,185500.0
27,Toledo,2019-04-30,177500.0
28,Toledo,2019-03-31,163500.0
29,Toledo,2019-02-28,142400.0
30,Toledo,2019-01-31,139900.0
31,Toledo,2018-12-31,139900.0
32,Toledo,2018-11-30,139900.0
33,Toledo,2018-10-31,143500.0
34,Toledo,2018-09-30,143900.0
35,Toledo,2018-08-31,144900.0
36,Toledo,2018-07-31,149900.0
37,Toledo,2018-06-30,149900.0
38,Toledo,2018-05-31,149900.0
39,Toledo,2018-04-30,145000.0
40,Toledo,2018-03-31,139000.0
41,Toledo,2018-02-28,125900.0
42,Toledo,2018-01-31,125000.0
43,Toledo,2017-12-31,125900.0
44,Toledo,2017-11-30,129900.0
45,Toledo,2017-10-31,134900.0
