None,indicator_id,region_id,date,value
0,IRAM,394865,2021-07-31,12489.0
1,IRAM,394865,2021-06-30,11748.0
2,IRAM,394865,2021-05-31,10728.0
3,IRAM,394865,2021-04-30,9725.0
4,IRAM,394865,2021-03-31,8932.0
5,IRAM,394865,2021-02-28,8382.0
6,IRAM,394865,2021-01-31,9268.0
7,IRAM,394865,2020-12-31,11154.0
8,IRAM,394865,2020-11-30,13283.0
9,IRAM,394865,2020-10-31,14299.0
10,IRAM,394865,2020-09-30,14623.0
11,IRAM,394865,2020-08-31,14569.0
12,IRAM,394865,2020-07-31,14472.0
13,IRAM,394865,2020-06-30,14178.0
14,IRAM,394865,2020-05-31,13708.0
15,IRAM,394865,2020-04-30,12600.0
16,IRAM,394865,2020-03-31,11763.0
17,IRAM,394865,2020-02-29,11789.0
18,IRAM,394865,2020-01-31,13138.0
19,IRAM,394865,2019-12-31,14860.0
20,IRAM,394865,2019-11-30,16469.0
21,IRAM,394865,2019-10-31,17335.0
22,IRAM,394865,2019-09-30,17617.0
23,IRAM,394865,2019-08-31,17332.0
24,IRAM,394865,2019-07-31,16375.0
25,IRAM,394865,2019-06-30,14896.0
26,IRAM,394865,2019-05-31,12960.0
27,IRAM,394865,2019-04-30,11412.0
28,IRAM,394865,2019-03-31,10612.0
29,IRAM,394865,2019-02-28,11041.0
30,IRAM,394865,2019-01-31,12474.0
31,IRAM,394865,2018-12-31,14099.0
32,IRAM,394865,2018-11-30,15712.0
33,IRAM,394865,2018-10-31,16523.0
34,IRAM,394865,2018-09-30,16700.0
35,IRAM,394865,2018-08-31,16432.0
36,IRAM,394865,2018-07-31,15521.0
37,IRAM,394865,2018-06-30,14340.0
38,IRAM,394865,2018-05-31,12703.0
39,IRAM,394865,2018-04-30,11120.0
40,IRAM,394865,2018-03-31,10163.0
41,IRAM,394865,2018-02-28,10271.0
42,IRAM,394865,2018-01-31,11576.0
43,IRAM,394865,2017-12-31,12385.0
44,IRAM,394865,2017-11-30,13810.0
45,IRAM,394865,2017-10-31,15242.0
