None,indicator_id,region_id,date,value
0,LRAM,394816,2021-07-31,369900.0
1,LRAM,394816,2021-06-30,374900.0
2,LRAM,394816,2021-05-31,374900.0
3,LRAM,394816,2021-04-30,365000.0
4,LRAM,394816,2021-03-31,364900.0
5,LRAM,394816,2021-02-28,361000.0
6,LRAM,394816,2021-01-31,359000.0
7,LRAM,394816,2020-12-31,349900.0
8,LRAM,394816,2020-11-30,344900.0
9,LRAM,394816,2020-10-31,334000.0
10,LRAM,394816,2020-09-30,335000.0
11,LRAM,394816,2020-08-31,339900.0
12,LRAM,394816,2020-07-31,349900.0
13,LRAM,394816,2020-06-30,355000.0
14,LRAM,394816,2020-05-31,350000.0
15,LRAM,394816,2020-04-30,349900.0
16,LRAM,394816,2020-03-31,349000.0
17,LRAM,394816,2020-02-29,340000.0
18,LRAM,394816,2020-01-31,329000.0
19,LRAM,394816,2019-12-31,324900.0
20,LRAM,394816,2019-11-30,324900.0
21,LRAM,394816,2019-10-31,324900.0
22,LRAM,394816,2019-09-30,324900.0
23,LRAM,394816,2019-08-31,329000.0
24,LRAM,394816,2019-07-31,329900.0
25,LRAM,394816,2019-06-30,335000.0
26,LRAM,394816,2019-05-31,335000.0
27,LRAM,394816,2019-04-30,334900.0
28,LRAM,394816,2019-03-31,336000.0
29,LRAM,394816,2019-02-28,327900.0
30,LRAM,394816,2019-01-31,309900.0
31,LRAM,394816,2018-12-31,300000.0
32,LRAM,394816,2018-11-30,299900.0
33,LRAM,394816,2018-10-31,299900.0
34,LRAM,394816,2018-09-30,300900.0
35,LRAM,394816,2018-08-31,307000.0
36,LRAM,394816,2018-07-31,319900.0
37,LRAM,394816,2018-06-30,319900.0
38,LRAM,394816,2018-05-31,315000.0
39,LRAM,394816,2018-04-30,319900.0
40,LRAM,394816,2018-03-31,315000.0
41,LRAM,394816,2018-02-28,309900.0
42,LRAM,394816,2018-01-31,299000.0
43,LRAM,394816,2017-12-31,289000.0
44,LRAM,394816,2017-11-30,289900.0
45,LRAM,394816,2017-10-31,290000.0
