None,indicator_id,region_id,date,value
0,LRAM,394531,2021-07-31,325000.0
1,LRAM,394531,2021-06-30,319000.0
2,LRAM,394531,2021-05-31,311735.0
3,LRAM,394531,2021-04-30,300200.0
4,LRAM,394531,2021-03-31,290000.0
5,LRAM,394531,2021-02-28,281490.0
6,LRAM,394531,2021-01-31,275930.0
7,LRAM,394531,2020-12-31,270500.0
8,LRAM,394531,2020-11-30,267570.0
9,LRAM,394531,2020-10-31,275000.0
10,LRAM,394531,2020-09-30,275900.0
11,LRAM,394531,2020-08-31,277500.0
12,LRAM,394531,2020-07-31,281500.0
13,LRAM,394531,2020-06-30,288000.0
14,LRAM,394531,2020-05-31,282990.0
15,LRAM,394531,2020-04-30,277900.0
16,LRAM,394531,2020-03-31,276500.0
17,LRAM,394531,2020-02-29,273650.0
18,LRAM,394531,2020-01-31,265900.0
19,LRAM,394531,2019-12-31,260000.0
20,LRAM,394531,2019-11-30,261500.0
21,LRAM,394531,2019-10-31,265000.0
22,LRAM,394531,2019-09-30,275000.0
23,LRAM,394531,2019-08-31,279900.0
24,LRAM,394531,2019-07-31,287900.0
25,LRAM,394531,2019-06-30,293000.0
26,LRAM,394531,2019-05-31,293500.0
27,LRAM,394531,2019-04-30,295000.0
28,LRAM,394531,2019-03-31,293000.0
29,LRAM,394531,2019-02-28,289684.0
30,LRAM,394531,2019-01-31,285000.0
31,LRAM,394531,2018-12-31,284900.0
32,LRAM,394531,2018-11-30,288000.0
33,LRAM,394531,2018-10-31,289900.0
34,LRAM,394531,2018-09-30,289900.0
35,LRAM,394531,2018-08-31,292900.0
36,LRAM,394531,2018-07-31,299900.0
37,LRAM,394531,2018-06-30,299900.0
38,LRAM,394531,2018-05-31,299900.0
39,LRAM,394531,2018-04-30,299900.0
40,LRAM,394531,2018-03-31,299000.0
41,LRAM,394531,2018-02-28,293500.0
42,LRAM,394531,2018-01-31,285000.0
43,LRAM,394531,2017-12-31,280000.0
44,LRAM,394531,2017-11-30,279900.0
45,LRAM,394531,2017-10-31,279900.0
