None,metro_area,date,value
0,Denver,2021-07-31,616000.0
1,Denver,2021-06-30,618000.0
2,Denver,2021-05-31,605000.0
3,Denver,2021-04-30,595000.0
4,Denver,2021-03-31,575000.0
5,Denver,2021-02-28,559900.0
6,Denver,2021-01-31,542980.0
7,Denver,2020-12-31,531900.0
8,Denver,2020-11-30,518000.0
9,Denver,2020-10-31,525000.0
10,Denver,2020-09-30,530800.0
11,Denver,2020-08-31,550000.0
12,Denver,2020-07-31,550000.0
13,Denver,2020-06-30,549900.0
14,Denver,2020-05-31,535000.0
15,Denver,2020-04-30,530000.0
16,Denver,2020-03-31,549950.0
17,Denver,2020-02-29,548000.0
18,Denver,2020-01-31,525000.0
19,Denver,2019-12-31,501900.0
20,Denver,2019-11-30,499000.0
21,Denver,2019-10-31,495000.0
22,Denver,2019-09-30,498000.0
23,Denver,2019-08-31,499900.0
24,Denver,2019-07-31,504900.0
25,Denver,2019-06-30,515000.0
26,Denver,2019-05-31,519900.0
27,Denver,2019-04-30,525000.0
28,Denver,2019-03-31,525000.0
29,Denver,2019-02-28,500000.0
30,Denver,2019-01-31,489990.0
31,Denver,2018-12-31,479000.0
32,Denver,2018-11-30,474900.0
33,Denver,2018-10-31,478500.0
34,Denver,2018-09-30,487913.0
35,Denver,2018-08-31,495000.0
36,Denver,2018-07-31,500000.0
